[INFO]  === Pre-flight checks ===
[INFO]  All input files found for 2 samples.
[INFO]  Output directory: /pastel/tools/circRNA_tools/test_data/decoupled_comparison
[INFO]  Joint pipeline: CIRI3_decoupled.jar (current source, -W 1)
[INFO]  Decoupled jar:  /pastel/Github_scripts/CIRI3/CIRI3_decoupled.jar
[INFO]  === Stage 0: ORIGINAL pipeline (CIRI3_Java_1.8.0.jar, -W 1, -Ma 1) ===
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=30 reads_seen=35490 reads_in_scan1IdMap=103 bsj_emitted=245
2026-04-20 20:25:01 Running:/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/Chimeric.out.junction,/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/Aligned.out.sam,/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=16 reads_seen=57045 reads_in_scan1IdMap=122 bsj_emitted=189
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=13 reads_seen=55882 reads_in_scan1IdMap=141 bsj_emitted=193
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=9 reads_seen=55668 reads_in_scan1IdMap=153 bsj_emitted=178
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=29 reads_seen=55755 reads_in_scan1IdMap=162 bsj_emitted=175
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=28 reads_seen=57076 reads_in_scan1IdMap=134 bsj_emitted=179
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=19 reads_seen=55753 reads_in_scan1IdMap=144 bsj_emitted=178
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=17 reads_seen=55901 reads_in_scan1IdMap=160 bsj_emitted=181
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=8 reads_seen=57427 reads_in_scan1IdMap=130 bsj_emitted=204
